department_name,geographic_region,name,normalised_path,path,url,financial_year,sphere
Health,Gauteng,Vote 04 : Health,etl-data/normalised/2015/Gauteng/Vote 04 : Health.xlsx,etl-data/2015/Gauteng/GT - Health.xlsx,,2015,provincial
Health,Gauteng,Vote 04 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 04 - Health.pdf,2015,provincial
Education,Gauteng,Vote 05 : Education,etl-data/normalised/2015/Gauteng/Vote 05 : Education.xlsx,etl-data/2015/Gauteng/GT - Education.xlsx,,2015,provincial
Education,Gauteng,Vote 05 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 05 - Education.pdf,2015,provincial
Social Development,Gauteng,Vote 06 : Social Development,etl-data/normalised/2015/Gauteng/Vote 06 : Social Development.xlsx,etl-data/2015/Gauteng/GT - Social Development.xlsx,,2015,provincial
Social Development,Gauteng,Vote 06 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 06 - Social Development.pdf,2015,provincial
Cooperative Governance and Traditional Affairs,Gauteng,Vote 07 : Cooperative Governance and Traditional Affairs,etl-data/normalised/2015/Gauteng/Vote 07 : Cooperative Governance and Traditional Affairs.xlsx,etl-data/2015/Gauteng/GT - CoGTA.xlsx,,2015,provincial
Cooperative Governance and Traditional Affairs,Gauteng,Vote 07 : Cooperative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 07 - Cooperative Governance and Trad Affairs.pdf,2015,provincial
Human Settlements,Gauteng,Vote 08 : Human Settlements,etl-data/normalised/2015/Gauteng/Vote 08 : Human Settlements.xlsx,etl-data/2015/Gauteng/GT - Human Settlements.xlsx,,2015,provincial
Human Settlements,Gauteng,Vote 08 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 08 - Human Settlements.pdf,2015,provincial
Roads and Trasport,Gauteng,Vote 09 : Roads and Trasport,etl-data/normalised/2015/Gauteng/Vote 09 : Roads and Trasport.xlsx,etl-data/2015/Gauteng/GT - Roads and Transport.xlsx,,2015,provincial
Roads and Trasport,Gauteng,Vote 09 : Roads and Trasport,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 09 - Roads and Transport.pdf,2015,provincial
Community Safety,Gauteng,Vote 10 : Community Safety,etl-data/normalised/2015/Gauteng/Vote 10 : Community Safety.xlsx,etl-data/2015/Gauteng/GT - Community Safety.xlsx,,2015,provincial
Community Safety,Gauteng,Vote 10 : Community Safety,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 10 - Community Safety.pdf,2015,provincial
Agriculture and Rural Development,Gauteng,Vote 11 : Agriculture and Rural Development,etl-data/normalised/2015/Gauteng/Vote 11 : Agriculture and Rural Development.xlsx,etl-data/2015/Gauteng/GT - Agriculture and Rural Dev.xlsx,,2015,provincial
Agriculture and Rural Development,Gauteng,Vote 11 : Agriculture and Rural Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 11 - Agriculture and Rural Development.pdf,2015,provincial
"Sport, Arts, Culture and Recreation",Gauteng,"Vote 12 : Sport, Arts, Culture and Recreation","etl-data/normalised/2015/Gauteng/Vote 12 : Sport, Arts, Culture and Recreation.xlsx","etl-data/2015/Gauteng/GT - Sport, Culture and Recreation.xlsx",,2015,provincial
"Sport, Arts, Culture and Recreation",Gauteng,"Vote 12 : Sport, Arts, Culture and Recreation",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 12 - Sport, Arts, Culture and Recreation.pdf",2015,provincial
Finance,Gauteng,Vote 13 : Finance,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 13 - Finance.pdf,2015,provincial
Gauteng Provincial Treasury,Gauteng,Vote 14 : Gauteng Provincial Treasury,etl-data/normalised/2015/Gauteng/Vote 14 : Gauteng Provincial Treasury.xlsx,etl-data/2015/Gauteng/GT - Provincial Treasury.xlsx,,2015,provincial
Finance,Gauteng,Vote 13 : Finance,etl-data/normalised/2015/Gauteng/Vote 13 : Finance.xlsx,etl-data/2015/Gauteng/GT - Finance.xlsx,,2015,provincial
Gauteng Provincial Treasury,Gauteng,Vote 14 : Gauteng Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 14 - Gauteng Provincial Treasury.pdf,2015,provincial
Infrastructure Development,Gauteng,Vote 15 : Infrastructure Development,etl-data/normalised/2015/Gauteng/Vote 15 : Infrastructure Development.xlsx,etl-data/2015/Gauteng/GT - Infrastructure Development.xlsx,,2015,provincial
Infrastructure Development,Gauteng,Vote 15 : Infrastructure Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/GT - Vote 15 - Infrastructure Development.pdf,2015,provincial
Office of the Premier,KwaZulu-Natal,Vote 01 : Office of the Premier,etl-data/normalised/2015/KwaZulu-Natal/Vote 01 : Office of the Premier.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Office of the Premier.xlsx,,2015,provincial
Office of the Premier,KwaZulu-Natal,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 01 - Premier.pdf,2015,provincial
Provincial Legislature,KwaZulu-Natal,Vote 02 : Provincial Legislature,etl-data/normalised/2015/KwaZulu-Natal/Vote 02 : Provincial Legislature.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Legislature.xlsx,,2015,provincial
Provincial Legislature,KwaZulu-Natal,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 02 - Legislature.pdf,2015,provincial
"Agriculture, Environmental Affairs and Rural Development",KwaZulu-Natal,"Vote 03 : Agriculture, Environmental Affairs and Rural Development","etl-data/normalised/2015/KwaZulu-Natal/Vote 03 : Agriculture, Environmental Affairs and Rural Development.xlsx",etl-data/2015/KwaZulu-Natal/KZN - Agriculture and Rural Dev.xlsx,,2015,provincial
"Agriculture, Environmental Affairs and Rural Development",KwaZulu-Natal,"Vote 03 : Agriculture, Environmental Affairs and Rural Development",,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 03 - Agriculture.pdf,2015,provincial
Economic Development and Tourism,KwaZulu-Natal,Vote 04 : Economic Development and Tourism,etl-data/normalised/2015/KwaZulu-Natal/Vote 04 : Economic Development and Tourism.xlsx,"etl-data/2015/KwaZulu-Natal/KZN - Eco Dev, Tourism and Env Affairs.xlsx",,2015,provincial
Economic Development and Tourism,KwaZulu-Natal,Vote 04 : Economic Development and Tourism,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 04 - Economic Development and Tourism.pdf,2015,provincial
Education,KwaZulu-Natal,Vote 05 : Education,etl-data/normalised/2015/KwaZulu-Natal/Vote 05 : Education.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Education.xlsx,,2015,provincial
Education,KwaZulu-Natal,Vote 05 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 05 - Education.pdf,2015,provincial
Provincial Treasury,KwaZulu-Natal,Vote 06 : Provincial Treasury,etl-data/normalised/2015/KwaZulu-Natal/Vote 06 : Provincial Treasury.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Provincial Treasury.xlsx,,2015,provincial
Provincial Treasury,KwaZulu-Natal,Vote 06 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 06 - Provincial Treasury.pdf,2015,provincial
Health,KwaZulu-Natal,Vote 07 : Health,etl-data/normalised/2015/KwaZulu-Natal/Vote 07 : Health.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Health.xlsx,,2015,provincial
Health,KwaZulu-Natal,Vote 07 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 07 - Health.pdf,2015,provincial
Human Settlements,KwaZulu-Natal,Vote 08 : Human Settlements,etl-data/normalised/2015/KwaZulu-Natal/Vote 08 : Human Settlements.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Human Settlements.xlsx,,2015,provincial
Human Settlements,KwaZulu-Natal,Vote 08 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 08 - Human Settlement.pdf,2015,provincial
Community Safety and Liaison,KwaZulu-Natal,Vote 09 : Community Safety and Liaison,etl-data/normalised/2015/KwaZulu-Natal/Vote 09 : Community Safety and Liaison.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Comm Safety and Liaison.xlsx,,2015,provincial
Community Safety and Liaison,KwaZulu-Natal,Vote 09 : Community Safety and Liaison,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 09 - Community Safety.pdf,2015,provincial
The Royal Household,KwaZulu-Natal,Vote 10 : The Royal Household,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 10 - Royal Household.pdf,2015,provincial
Co-operative Governance and Traditional Affairs,KwaZulu-Natal,Vote 11 : Co-operative Governance and Traditional Affairs,etl-data/normalised/2015/KwaZulu-Natal/Vote 11 : Co-operative Governance and Traditional Affairs.xlsx,etl-data/2015/KwaZulu-Natal/KZN - CoGTA.xlsx,,2015,provincial
Co-operative Governance and Traditional Affairs,KwaZulu-Natal,Vote 11 : Co-operative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 11 - Co-operative Governance.pdf,2015,provincial
Transport,KwaZulu-Natal,Vote 12 : Transport,etl-data/normalised/2015/KwaZulu-Natal/Vote 12 : Transport.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Transport.xlsx,,2015,provincial
Transport,KwaZulu-Natal,Vote 12 : Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 12 - Transport.pdf,2015,provincial
Social Development,KwaZulu-Natal,Vote 13 : Social Development,etl-data/normalised/2015/KwaZulu-Natal/Vote 13 : Social Development.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Social Development.xlsx,,2015,provincial
Social Development,KwaZulu-Natal,Vote 13 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 13 - Social Development.pdf,2015,provincial
Public Works,KwaZulu-Natal,Vote 14 : Public Works,etl-data/normalised/2015/KwaZulu-Natal/Vote 14 : Public Works.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Public Works.xlsx,,2015,provincial
Public Works,KwaZulu-Natal,Vote 14 : Public Works,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 14 - Public Works.pdf,2015,provincial
Arts and Culture,KwaZulu-Natal,Vote 15 : Arts and Culture,etl-data/normalised/2015/KwaZulu-Natal/Vote 15 : Arts and Culture.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Arts and Culture.xlsx,,2015,provincial
Arts and Culture,KwaZulu-Natal,Vote 15 : Arts and Culture,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 15 - Arts and Culture.pdf,2015,provincial
Sport and Recreation,KwaZulu-Natal,Vote 16 : Sport and Recreation,etl-data/normalised/2015/KwaZulu-Natal/Vote 16 : Sport and Recreation.xlsx,etl-data/2015/KwaZulu-Natal/KZN - Sport and Recreation.xlsx,,2015,provincial
Sport and Recreation,KwaZulu-Natal,Vote 16 : Sport and Recreation,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 16 - Sports and Recreation.pdf,2015,provincial
Office of the Premier,Limpopo,Vote 01 : Office of the Premier,etl-data/normalised/2015/Limpopo/Vote 01 : Office of the Premier.xlsx,etl-data/2015/Limpopo/LIM - Office of the Premier.xlsx,,2015,provincial
Office of the Premier,Limpopo,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 01 - Premier.pdf,2015,provincial
Limpopo Legislature,Limpopo,Vote 02 : Limpopo Legislature,etl-data/normalised/2015/Limpopo/Vote 02 : Limpopo Legislature.xlsx,etl-data/2015/Limpopo/LIM - Provincial Legislature.xlsx,,2015,provincial
Limpopo Legislature,Limpopo,Vote 02 : Limpopo Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 02 - Legislature.pdf,2015,provincial
Education,Limpopo,Vote 03 : Education,etl-data/normalised/2015/Limpopo/Vote 03 : Education.xlsx,etl-data/2015/Limpopo/LIM - Education.xlsx,,2015,provincial
Education,Limpopo,Vote 03 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 03 - Education.pdf,2015,provincial
Agriculture,Limpopo,Vote 04 : Agriculture,etl-data/normalised/2015/Limpopo/Vote 04 : Agriculture.xlsx,etl-data/2015/Limpopo/LIM - Agriculture.xlsx,,2015,provincial
Agriculture,Limpopo,Vote 04 : Agriculture,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 04 - Agriculture.pdf,2015,provincial
Provincial Treasury,Limpopo,Vote 05 : Provincial Treasury,etl-data/normalised/2015/Limpopo/Vote 05 : Provincial Treasury.xlsx,etl-data/2015/Limpopo/LIM - Provincial Treasury.xlsx,,2015,provincial
Provincial Treasury,Limpopo,Vote 05 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 05 - Provincial Treasury.pdf,2015,provincial
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism","etl-data/normalised/2015/Limpopo/Vote 06 : Economic Development, Environmental Affairs and Tourism.xlsx","etl-data/2015/Limpopo/LIM - Eco Dev, Env Affairs and Tourism.xlsx",,2015,provincial
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 06 - Economic Dev, Environm & Tourism.pdf",2015,provincial
Health,Limpopo,Vote 07 : Health,etl-data/normalised/2015/Limpopo/Vote 07 : Health.xlsx,etl-data/2015/Limpopo/LIM - Health.xlsx,,2015,provincial
Health,Limpopo,Vote 07 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 07 - Health.pdf,2015,provincial
Roads and Transport,Limpopo,Vote 08 : Roads and Transport,etl-data/normalised/2015/Limpopo/Vote 08 : Roads and Transport.xlsx,etl-data/2015/Limpopo/LIM - Transport.xlsx,,2015,provincial
Roads and Transport,Limpopo,Vote 08 : Roads and Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 08 - Transport.pdf,2015,provincial
Public Works,Limpopo,Vote 09 : Public Works,etl-data/normalised/2015/Limpopo/Vote 09 : Public Works.xlsx,"etl-data/2015/Limpopo/LIM - Public Works, Roads and Infrastructure.xlsx",,2015,provincial
Public Works,Limpopo,Vote 09 : Public Works,,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 09 - Public Works, Roads a& Transport.pdf",2015,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison","etl-data/normalised/2015/Limpopo/Vote 10 : Safety, Security and Liaison.xlsx","etl-data/2015/Limpopo/LIM - Safety,Security and Liaison.xlsx",,2015,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison",,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 10 - Safety and Security.pdf,2015,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs","etl-data/normalised/2015/Limpopo/Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs.xlsx","etl-data/2015/Limpopo/LIM - CoG, Human Settlements and Trad Affairs.xlsx",,2015,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 11 - Cooperative gov, Human Sett & Environ.pdf",2015,provincial
Social Development,Limpopo,Vote 12 : Social Development,etl-data/normalised/2015/Limpopo/Vote 12 : Social Development.xlsx,etl-data/2015/Limpopo/LIM - Social Development.xlsx,,2015,provincial
Social Development,Limpopo,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 12 - Social Development.pdf,2015,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture","etl-data/normalised/2015/Limpopo/Vote 13 : Sport, Arts and Culture.xlsx","etl-data/2015/Limpopo/LIM - Sport, Arts and Culture.xlsx",,2015,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 13 - Sport, Art & Culture.pdf",2015,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,etl-data/normalised/2015/Mpumalanga/Vote 01 : Office of the Premier.xlsx,etl-data/2015/Mpumalanga/MPU - Office of the Premier.xlsx,,2015,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 01 - Office of the Premier.pdf,2015,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,etl-data/normalised/2015/Mpumalanga/Vote 02 : Mpumalanga Provincial Legislature.xlsx,etl-data/2015/Mpumalanga/MPU - Provincial Legislature.xlsx,,2015,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 02 - Legislature.pdf,2015,provincial
Finance,Mpumalanga,Vote 03 : Finance,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 03 - Finance.pdf,2015,provincial
Finance,Mpumalanga,Vote 03 : Finance,etl-data/normalised/2015/Mpumalanga/Vote 03 : Finance.xlsx,etl-data/2015/Mpumalanga/MPU - Finance.xlsx,,2015,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,etl-data/normalised/2015/Mpumalanga/Vote 04 : Co-operative Governance and Traditional Affairs.xlsx,etl-data/2015/Mpumalanga/MPU - CoGTA .xlsx,,2015,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 04 - Co-operative Governance and Traditional Aff.pdf,2015,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration","etl-data/normalised/2015/Mpumalanga/Vote 05 : Agricultural, Rural Development and Land Administration.xlsx",etl-data/2015/Mpumalanga/MPU - Agriculture  .xlsx,,2015,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 05 - Agriculture, Rural deve, Land and Environ.pdf",2015,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism","etl-data/normalised/2015/Mpumalanga/Vote 06 : Economic Development, Environment and Tourism.xlsx","etl-data/2015/Mpumalanga/MPU - Eco Dev, Environ and Tourism.xlsx",,2015,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism",,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 06 - Economic Development and Tourism.pdf,2015,provincial
Education,Mpumalanga,Vote 07 : Education,etl-data/normalised/2015/Mpumalanga/Vote 07 : Education.xlsx,etl-data/2015/Mpumalanga/MPU - Education.xlsx,,2015,provincial
Education,Mpumalanga,Vote 07 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 07 - Education.pdf,2015,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport","etl-data/normalised/2015/Mpumalanga/Vote 08 : Public Works, Roads and Transport.xlsx",etl-data/2015/Mpumalanga/MPU - Public Works.xlsx,,2015,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 08 - Public Works, Roads and Transport.pdf",2015,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison","etl-data/normalised/2015/Mpumalanga/Vote 09 : Community Safety, Security and Liaison.xlsx","etl-data/2015/Mpumalanga/MPU - Safety, Security and Liaison.xlsx",,2015,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison",,,"http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 09 - Community Safety, Security and Liaison.pdf",2015,provincial
Health,Mpumalanga,Vote 10 : Health,etl-data/normalised/2015/Mpumalanga/Vote 10 : Health.xlsx,etl-data/2015/Mpumalanga/MPU - Health.xlsx,,2015,provincial
Health,Mpumalanga,Vote 10 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2015/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 10 - Health.pdf,2015,provincial
"Culture, Sport and Recreation",Mpumalanga,"Vote 11 : Culture, Sport and Recreation","etl-data/normalised/2015/Mpumalanga/Vote 11 : Culture, Sport and Recreation.xlsx",etl-data/2015/Mpumalanga/MPU - Culture Sport & Recreation.xlsx,,2015,provincial
